"date","pricetoearnings","pricetotangiblebook","adjdilutedeps","dividendyield","fcf_yield","pricetorevenue","pricetoearnings_10yavg","pricetotangiblebook_10yavg","ebitmargin","ebitdamargin","profitmargin","freecashflow","totaloperatingincome","roa","roe_short","roe_long","roe_ratio","fcf_margin_short","fcf_margin_long","fcf_margin_ratio","ebitdagrowth","ebitgrowth","epsgrowth","tangbookvaluepershare","revenuegrowth_short","revenuegrowth_long","revenuegrowth_ratio","fcffgrowth_short","fcffgrowth_long","fcffgrowth_ratio","ltdebttoequity","ebittointerestex","netdebttoebitda_short","netdebttoebitda_long","netdebttoebitda_ratio"
2011-04-01,90.6218,16.0631,0.41,0,-0.808202898478261,2.3355,5.51422034537732,6.18191964285714,0.022597,0.02189,0.019268,-371773333.3,2.01e+08,0.05116,0.103072556620059,0.115508247831056,0.892339365850429,-2.6843353624155,2.97394984413937,-0.902616218530183,0.033333,-0.238095,-0.088889,12.7304347826087,0.422008931432484,0.309002608869381,1.36571316655411,1.35465392931958,-6.42612830449668,-0.210804058856351,0,14.9333,-0.610110021744811,-1.40505374662838,0.43422539757561
2011-01-01,78.4437,14.172,0.44,0,0.977454173856209,2.2388,4.77319857370605,5.45412561576355,0.030841,0.029015,0.020392,448651465.8,3.22e+08,0.052072,0.128627189574392,0.12100110165861,1.06302494614717,-1.62638329522903,2.71031719251797,-0.600071201894293,-0.010381,-0.234257,-0.333333,12.7102396514161,0.420095913567562,0.312891654699067,1.34262421914577,0.0886230870843696,-6.57074931856589,-0.0134875160788682,0,25.3333,-1.22452095231575,-1.41746975528537,0.863878010624094
2010-10-01,71.25,14.883,0.91,0,2.59546610614035,2.3997,4.33547115162284,5.72775554187192,0.038928,0.031668,0.032054,1183532544.4,4.74e+08,0.067241,0.154189075575228,0.127287422909573,1.2113457249014,-0.5805024796825,2.38525738556907,-0.243371001886241,0.11413,0.07234,0.05814,12.094298245614,0.412147788256557,0.316818023834506,1.30089754133385,-2.29446861270549,-6.79855783951748,0.337493431234578,0,42,-1.94472988290898,-1.42729054151143,1.36253259329359
2010-07-01,63.8888,13.9882,0.51,0,-1.71163782741228,2.327,3.88755156928844,5.38338977832512,0.03836,0.031614,0.030556,-780506849.3,2.68e+08,0.081301,0.180360976316362,0.133873888781572,1.34724536620161,-0.368954408952444,2.03589852993493,-0.181224360412616,0.116822,0.10687,0.133333,11.2280701754386,0.409434501267857,0.32071897877948,1.2766145078972,-6.94877498290376,-7.06070201431988,0.984147889092455,0.0256,26.3636,-3.12369949211377,-1.43589802693198,2.17543267942782
2010-04-01,45.6504,10.7419,0.45,0,-1.18241758241758,1.7342,2.77776831242166,4.1340440270936,0.044776,0.031983,0.031526,-5.38e+08,2.7e+08,0.090048,0.197367132023202,0.140310185502466,1.40664864290793,-0.383003944041718,1.69790955473454,-0.225573819862036,0.532847,0.651685,0.40625,10.1714285714286,0.403032737131595,0.324576449444973,1.2417189781353,-11.2836793382538,-7.30784644084535,1.54404986880766,0.0225,32.6667,-3.31872161222768,-1.44488636714448,2.29687378031425
2010-01-01,60.1949,14.0601,0.66,0,-0.859591110352423,2.3042,3.66278249017293,5.41106065270936,0.055672,0.040527,0.04193,-390254364.1,3.94e+08,0.093146,0.210036667065421,0.146235852208561,1.43628709303015,-0.466878706607546,1.40160892712134,-0.333101978428772,0.267544,0.600806,0.609756,9.65638766519824,0.384330934479178,0.328413698520424,1.17026462723898,-15.1178993092692,-7.49578915446628,2.01685226168099,0.0233,56.7143,-3.16369262445438,-1.45585978692075,2.17307508104597
2009-10-01,65.9178,14.7795,0.86,0,0.116815294004525,2.426,4.01101361794307,5.68792333743842,0.04937,0.038655,0.040336,51632359.95,4.75e+08,0.089357,0.219810314284927,0.152573752151205,1.44068236630301,-0.302909585341384,1.08164422786251,-0.280045487729343,0.270677,0.536358,0.6382115,9.10180995475113,0.342274456982179,0.33237033846055,1.02979844280781,-17.3130393475238,-7.70763680590348,2.24621888440089,0,58.75,-2.54786105142287,-1.46768639401552,1.73597102338194
2009-07-01,65.9178,14.7795,0.45,0,1.11909089342404,2.426,4.01101361794307,5.68792333743842,0.048082,0.039273,0.03652,493519084,2.51e+08,0.089357,0.225970875525214,0.159717639875888,1.41481476749099,-0.0870820844010608,0.701864329630145,-0.124072531862318,0.27381,0.47191,0.666667,7.09297052154195,0.283838955797281,0.336341391945723,0.843901353191417,-18.5405789532379,-8.0007655773001,2.31735060527727,0.0324,37.4286,-1.56401446304025,-1.47821852995069,1.05804008768069
2009-04-01,65.9178,14.7795,0.32,0,-0.0650964956818182,2.426,4.01101361794307,5.68792333743842,0.038271,0.029456,0.030531,-28642458.1,1.59e+08,0.089357,0.228871360949579,0.16691956389259,1.37114760913738,0.202145277912637,0.316696158830739,0.638294062861291,-0.344498,-0.148325,-0.135135,6.375,0.207361283017607,0.340260475936459,0.609419246966345,-18.5693907673492,-8.30353838199573,2.2363226269433,0.0335,25.4286,-0.274235871084979,-1.48838749292603,0.184250319482232
2009-01-01,65.9178,14.7795,0.41,0,-0.0655433823798627,2.426,4.01101361794307,5.68792333743842,0.050726,0.046635,0.036204,-28642458.1,2.44e+08,0.089357,0.228375219144833,0.173536869612181,1.3160040264366,0.509781748070662,-0.0256472551381455,-19.8766591327139,-0.344498,-0.148325,-0.135135,6.4187643020595,0.112714488603109,0.344105558438696,0.327557884024094,-17.4444287525383,-8.55034496785358,2.04020174836495,0.0335,20.6667,1.25008655793727,-1.49919655810352,-0.833837665368332
