date,open,high,low,close,volume,R_t1
6/26/15,441.76,443.49,435.06,438.1,2624479,-0.29577722
6/19/15,440.26,444.99,433.24,434.92,4495087,-0.289317576
6/12/15,431.25,432.36,428.26,429.92,2054385,-0.302428359
6/5/15,429.66,430.8,426.5,426.95,1907855,-0.280196744
5/29/15,427.23,432.5,427.23,429.23,3016060,-0.271649232
5/22/15,431.55,432.44,427.61,427.63,2020629,-0.208100461
5/15/15,428,430.3962,424.3,426,4240306,-0.219178404
5/8/15,430.75,435.2,430.174,433.69,2908838,-0.24411446
5/1/15,423.82,425.64,416,422.87,3565824,-0.290893182
4/24/15,439,452.65,439,445.1,17176904,-0.313727252
4/17/15,382.63,383.56,374.4,375.56,3839664,-0.235648099
4/10/15,384.31,387.12,381.3151,382.65,2573519,-0.206481119
3/27/15,367.11,373.17,366.5734,370.56,2609774,-0.159677245
3/20/15,376.29,379.37,375.92,378.49,3763553,-0.147295833
3/13/15,371.52,373.99,366.68,370.58,2611658,-0.12782665
3/6/15,385.52,387,378.88,380.09,2627042,-0.128311716
2/27/15,384,385.99,379.79,380.16,2532309,-0.128814184
2/20/15,378.62,383.7,375.84,383.66,3258023,-0.097169369
2/13/15,378.41,383,377.01,381.83,3475069,-0.112065579
2/6/15,374.87,375.9899,371.01,374.28,3892382,-0.114058993
1/30/15,346.32,359.5,340.74,354.53,23856060,-0.058951288
1/23/15,308.08,316.93,307.72,312.39,4496419,0.014116969
1/16/15,286.28,290.79,285.25,290.74,3478176,0.056132627
1/9/15,301.48,302.87,296.68,296.93,2570947,0.091199946
1/2/15,312.58,314.75,306.9601,308.52,2788101,0.162517827
12/26/14,305,310.7799,303.81,309.09,2893801,0.120062118
12/19/14,296.91,301.54,295.52,299.9,8709129,0.082260754
12/12/14,303.99,310.6399,303.01,307.32,3162322,0.054926461
12/5/14,316.8,316.93,310.84,312.63,3265214,0.04362985
11/28/14,336.03,341.26,336.03,338.64,3051798,-0.026488306
11/21/14,335.42,338.33,331.47,332.63,4466587,-0.060367375
11/14/14,317.12,332.88,316.401,327.82,8877785,-0.047526081
11/7/14,297.82,299.99,296.29,299.86,2647352,-0.007203362
10/31/14,305.15,305.72,301.5,305.46,4551795,-0.043278989
10/24/14,284.4,293.81,284,287.06,19805911,0.072981258
10/17/14,307.15,309.2,302.72,303.64,4409218,0.000625741
10/10/14,314.02,317.77,311.38,311.39,3684314,0.001091878
10/3/14,320.36,325.16,319.53,322.74,3037891,0.000805602
9/26/14,320.6,323.5,317.64,323.21,3639155,0.046656972
9/19/14,327.6,332.7559,325.57,331.32,6886200,0.088434142
9/12/14,329.56,332.89,328.79,331.19,3429300,0.128476101
9/5/14,346.3,346.827,342.5,346.38,2107000,0.07413823
8/29/14,341.76,341.8199,337.68,339.04,1939500,0.068015573
8/22/14,332.99,334.08,330.8,331.59,2211200,0.045749269
8/15/14,334,335,328.32,333.63,3896700,0.071096724
8/8/14,311.94,317.32,310.66,316.8,2705900,0.139772727
8/1/14,313.69,315.83,304.588,307.06,7441500,0.168143034
7/25/14,317.3,324.87,314.76,324.01,17846500,0.196259375
7/18/14,354.4,359.68,352.08,358.66,3407400,0.114174985
7/11/14,334.71,347,334.71,346.2,8300800,0.148642403
6/27/14,325.88,326.52,323.27,324.57,2416200,0.221431432
6/20/14,327.76,328.22,320.42,324.2,6054000,0.227884022
